,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
272,Townsville,AU,-19.25,146.8,94.08,55,20,11.36,few clouds
273,Madimba,TZ,-10.4,40.3333,78.03,84,83,6.67,broken clouds
274,Gazojak,TM,41.1875,61.4036,46.36,74,3,7.38,clear sky
275,Obo,CF,5.3998,26.4869,73.49,38,100,2.1,overcast clouds
276,Abu Zabad,SD,12.35,29.25,71.11,15,2,8.63,clear sky
277,Zhigalovo,RU,54.8097,105.1578,19.0,82,100,4.14,overcast clouds
278,Tena,EC,-0.9833,-77.8167,69.93,98,99,3.02,moderate rain
279,Benjamin Constant,BR,-4.3831,-70.0311,72.16,94,62,0.31,broken clouds
280,Klaksvik,FO,62.2266,-6.589,43.72,84,100,9.19,overcast clouds
281,Vyshestebliyevskaya,RU,45.1961,37.0181,39.43,78,27,9.37,scattered clouds
282,Mogok,MM,22.9167,96.5,77.61,20,40,3.13,scattered clouds
283,Galapagar,ES,40.5783,-4.0043,48.56,85,77,1.99,broken clouds
284,Zhezkazgan,KZ,47.8043,67.7144,10.38,85,40,4.47,smoke
285,Leon,MX,21.1167,-101.6667,71.65,32,35,5.97,scattered clouds
286,Roald,NO,62.5833,6.1333,43.32,81,75,20.71,broken clouds
287,Te Anau,NZ,-45.4167,167.7167,66.52,41,24,2.82,few clouds
288,Maniitsoq,GL,65.4167,-52.9,12.85,68,98,14.76,overcast clouds
289,Abu Dhabi,AE,24.4667,54.3667,66.96,88,0,3.44,clear sky
290,Nuristan,AF,35.3,70.8333,18.81,56,21,3.71,few clouds
291,Mount Isa,AU,-20.7333,139.5,103.77,12,6,11.5,clear sky
292,Fort Frances,CA,48.5999,-93.4003,0.75,98,44,2.46,scattered clouds
293,Mount Pleasant,US,32.7941,-79.8626,55.0,96,75,4.61,broken clouds
294,Makakilo City,US,21.3469,-158.0858,77.32,65,0,8.05,clear sky
295,Buchanan,LR,5.8808,-10.0467,78.26,89,19,6.96,light rain
296,Wyndham,US,37.6985,-77.6125,53.82,57,0,8.01,clear sky
297,Koslan,RU,63.4564,48.8989,22.05,94,96,9.64,overcast clouds
298,Belaya Kholunitsa,RU,58.84,50.8528,19.56,96,98,8.14,overcast clouds
299,Yarada,IN,17.65,83.2667,82.72,61,20,4.61,haze
300,Mmabatho,ZA,-25.85,25.6333,64.04,77,74,6.22,broken clouds
301,Tucson,US,32.2217,-110.9265,69.73,23,0,5.75,clear sky
302,Ulaangom,MN,49.9811,92.0667,-2.18,96,96,3.0,overcast clouds
303,Khani,GE,41.9563,42.9566,33.37,85,96,3.98,overcast clouds
304,Ribeira Grande,PT,38.5167,-28.7,59.95,85,100,14.34,overcast clouds
305,Severomuysk,RU,56.1481,113.4267,1.36,71,42,3.94,scattered clouds
306,Popondetta,PG,-8.7537,148.2534,74.61,99,100,0.38,light rain
307,Buala,SB,-8.145,159.5921,83.82,76,92,3.74,light rain
308,Laguna,US,38.421,-121.4238,64.38,63,0,0.0,clear sky
309,Opuwo,NA,-18.0607,13.84,69.13,66,87,1.25,overcast clouds
310,Okhotsk,RU,59.3833,143.3,8.58,81,54,7.43,broken clouds
311,Ketchikan,US,55.3422,-131.6461,41.47,93,100,4.61,light rain
312,Ardabil,IR,38.2498,48.2933,44.15,65,75,11.5,broken clouds
313,Savinka,RU,50.0785,47.0994,21.96,94,58,6.53,broken clouds
314,Novopokrovskaya,RU,45.9514,40.7006,40.28,88,100,5.5,overcast clouds
315,Yeniseysk,RU,58.4497,92.1703,22.06,87,100,11.68,overcast clouds
316,Ejido,VE,8.5514,-71.2375,67.39,91,96,3.83,overcast clouds
317,Chicama,PE,-7.8447,-79.1469,74.25,69,87,5.12,overcast clouds
318,Fort Nelson,CA,58.8053,-122.7002,9.99,85,100,9.22,light snow
319,Pervomayskiy,RU,53.2485,40.2871,14.29,100,90,3.65,overcast clouds
320,Barabinsk,RU,55.3571,78.357,16.34,91,100,14.18,overcast clouds
321,Prince George,CA,53.9166,-122.753,36.63,97,0,8.05,clear sky
322,Teahupoo,PF,-17.8333,-149.2667,78.76,68,48,16.42,scattered clouds
323,Sinnamary,GF,5.3833,-52.95,76.51,90,100,7.2,overcast clouds
324,Taoudenni,ML,22.6783,-3.9836,68.52,29,0,19.51,clear sky
325,Bengkulu,ID,-3.8004,102.2655,84.36,64,99,5.53,overcast clouds
326,Verkhniy Lomov,RU,53.4678,43.5511,9.16,100,92,1.03,overcast clouds
327,Thunder Bay,CA,48.4001,-89.3168,3.81,95,43,4.68,scattered clouds
328,Guerrero Negro,MX,27.9769,-114.0611,62.17,68,89,11.07,overcast clouds
329,Debre Tabor,ET,11.85,38.0167,56.28,65,99,2.95,overcast clouds
330,Chicla,PE,-11.705,-76.2686,44.78,80,92,3.09,overcast clouds
331,Algeciras,ES,36.1333,-5.4505,51.57,87,66,2.3,broken clouds
332,Rongcheng,CN,30.634,117.8517,62.01,45,0,2.55,clear sky
333,Longyearbyen,SJ,78.2186,15.6401,10.24,72,0,12.66,clear sky
334,Panacan,PH,9.2463,118.4082,85.08,68,50,14.7,scattered clouds
335,Flinders,AU,-34.5833,150.8552,71.38,93,100,7.0,moderate rain
336,Nantucket,US,41.2835,-70.0995,44.74,87,100,9.22,overcast clouds
337,Chiredzi,ZW,-21.05,31.6667,66.7,94,5,5.39,clear sky
338,Kijang,KR,35.2442,129.2139,51.53,18,59,3.24,broken clouds
339,Pangnirtung,CA,66.1451,-65.7125,-9.87,88,100,1.59,overcast clouds
340,Languyan,PH,5.2618,120.0807,82.24,77,96,3.44,overcast clouds
341,Ilulissat,GL,69.2167,-51.1,26.62,24,100,13.8,overcast clouds
342,Teknaf,BD,20.8624,92.3058,83.43,29,3,10.38,clear sky
343,Dorado,PR,18.4588,-66.2677,77.14,92,3,5.66,clear sky
344,Hasaki,JP,35.7333,140.8333,59.29,59,38,13.24,scattered clouds
345,Sompeta,IN,18.9333,84.6,82.26,42,4,1.61,clear sky
346,Pevek,RU,69.7008,170.3133,-11.34,100,41,1.79,scattered clouds
347,Kavaratti,IN,10.5669,72.642,82.2,68,75,8.32,broken clouds
348,Mbalmayo,CM,3.5167,11.5,72.28,83,97,2.48,overcast clouds
